,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
18,Acqua Di Parma,Perfume,5.0,-0.24413145539906103,-0.3800428766322354,70.0,Yes,No,No,8.550605122246802
19,Acqua Di Parma,Perfume,4.5,-0.20657276995305165,-0.35158838433053985,120.0,Yes,No,No,10.626234399741618
20,Acqua Di Parma,Perfume,4.5,0.06572769953051644,-0.05846813486649776,142.0,Yes,No,No,11.345879430108056
21,Acqua Di Parma,Cologne,4.0,-0.24413145539906103,-0.4061586435392711,245.0,Yes,No,No,13.942052775998096
22,Acqua Di Parma,Cologne,0.0,-0.2535211267605634,-0.3782888325862405,120.0,Yes,No,No,10.626234399741618
23,Acqua Di Parma,Perfume,5.0,-0.2347417840375587,-0.3383356070941337,275.0,Yes,No,No,14.548180849193407
24,Acqua Di Parma,Perfume Gift Sets,5.0,-0.24413145539906103,-0.398947573572403,200.0,Yes,No,Yes,12.926440913640182
25,Acqua Di Parma,Cologne,4.0,-0.20657276995305165,-0.36971350613915416,245.0,Yes,No,No,13.942052775998096
26,Acqua Di Parma,Cologne,4.0,-0.2347417840375587,-0.39758331709218475,245.0,Yes,No,No,13.942052775998096
27,Acqua Di Parma,Perfume Gift Sets,0.0,-0.2535211267605634,-0.38900799064509844,113.0,Yes,No,Yes,10.377912920217971
28,Acqua Di Parma,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3829662833755603,200.0,Yes,No,Yes,12.926440913640182
